PID  PTvpe   PT   VT   FT   WT   TT   Cancel   Resc
P198 N       198  202  313  100  11   F        F    
P197 R       197  201  304  88   15   F        F    
P196 N       196  200  304  97   7    F        F    
P194 N       194  198  303  93   12   F        F    
P192 N       192  196  302  96   10   F        F    
P191 R       191  195  298  82   21   F        F    
P186 N       186  190  294  94   10   F        F    
P188 N       188  192  292  92   8    F        F    
P190 N       190  194  291  94   3    F        F    
P185 R       185  189  287  81   17   F        F    
P182 N       182  186  285  87   12   F        F    
P180 N       180  184  285  90   11   F        F    
P184 N       184  188  280  88   4    F        F    
P176 N       176  180  277  84   13   F        F    
P179 R       179  183  275  80   12   F        F    
P174 N       174  178  274  88   8    F        F    
P178 N       178  182  274  87   5    F        F    
P170 N       170  174  268  81   13   F        F    
P173 R       173  177  268  76   15   F        F    
P168 N       168  172  267  83   12   F        F    
P172 N       172  176  266  84   6    F        F    
P164 N       164  168  260  75   17   F        F    
P167 R       167  171  259  72   16   F        F    
P162 N       162  166  255  81   8    F        F    
P166 N       166  170  254  82   2    F        F    
P161 R       161  165  251  69   17   F        F    
P158 N       158  162  248  75   11   F        F    
P156 N       157  160  248  76   12   F        F    
P152 N       153  156  246  72   18   F        F    
P160 N       160  164  245  77   4    F        F    
P155 R       156  159  240  65   16   F        F    
P150 N       151  154  237  74   9    F        F    
P154 N       155  158  234  75   1    F        F    
P146 N       147  150  232  66   16   F        F    
P149 R       150  153  232  68   11   F        F    
P148 N       149  152  229  68   9    F        F    
P144 N       145  148  226  70   8    F        F    
P142 N       143  146  219  68   5    F        F    
P140 N       141  144  218  63   11   F        F    
P138 N       139  142  218  66   10   F        F    
P143 R       144  147  218  58   13   F        F    
P195 R       195  199  214  4    11   F        F    
P134 N       135  138  214  58   18   F        F    
P137 R       138  141  213  54   18   F        F    
P132 N       133  136  212  64   12   F        F    
P199 R       199  203  209  2    4    F        F    
P189 R       189  193  209  3    13   F        F    
P193 R       193  197  204  2    5    F        F    
P136 N       137  140  203  62   1    F        F    
P183 R       183  187  202  3    12   F        F    
P126 N       127  130  201  60   11   F        F    
P131 R       132  135  201  54   12   F        F    
P187 R       187  191  201  2    8    F        F    
P128 N       129  132  200  60   8    F        F    
P130 N       131  134  199  60   5    F        F    
P122 N       123  126  196  59   11   F        F    
P177 R       177  181  194  3    10   F        F    
P181 R       181  185  193  2    6    F        F    
P125 R       126  129  193  46   18   F        F    
P175 R       175  179  190  2    9    F        F    
P171 R       171  175  189  3    11   F        F    
P120 N       121  124  188  56   8    F        F    
P124 N       125  128  188  57   3    F        F    
P119 R       120  123  185  51   11   F        F    
P118 N       119  122  184  53   9    F        F    
P165 R       165  169  182  3    10   F        F    
P116 N       117  120  182  47   15   F        F    
P169 R       169  173  180  2    5    F        F    
P159 R       159  163  179  4    12   F        F    
P113 R       114  117  178  42   19   F        F    
P114 N       115  118  176  53   5    F        F    
P110 N       111  114  174  49   11   F        F    
P108 N       109  112  172  51   9    F        F    
P163 R       163  167  172  2    3    F        F    
P112 N       113  116  170  49   5    F        F    
P153 R       154  157  169  2    10   F        F    
P157 R       158  161  168  1    6    F        F    
P104 N       105  108  168  42   18   F        F    
P102 N       103  106  166  49   11   F        F    
P107 R       108  111  164  37   16   F        F    
P151 R       152  155  163  1    7    F        F    
P147 R       148  151  162  2    9    F        F    
P106 N       107  110  161  47   4    F        F    
P141 R       142  145  158  2    11   F        F    
P145 R       146  149  158  1    8    F        F    
P98  N       99   102  157  38   17   F        F    
P101 R       102  105  156  40   11   F        F    
