10 20 2
200 1
0 0
200
N 2  4 1 U 3
N 1  5 2 E 5 X 8
N 3  6 3 X 2 E 7 U 1
N 4  7 2 U 4 E 9
N 5  8 1 X 6
N 6  9 3 E 2 U 5 X 3
N 7  10 2 U 7 E 4
N 8  11 1 X 9
N 9  12 3 E 1 U 8 X 2
N 10  13 2 X 4 U 6
N 11  14 1 E 3
N 12  15 3 U 2 X 5 E 7
N 13  16 2 E 6 U 1
N 14  17 1 X 8
N 15  18 3 U 3 E 4 X 9
N 16  19 2 X 2 U 7
N 17  20 1 E 5
N 18  21 3 U 1 X 6 E 2
N 19  22 2 E 8 U 3
N 20  23 1 X 4
N 21  24 3 U 5 E 7 X 1
N 22  25 2 X 3 U 9
N 23  26 1 E 6
N 24  27 3 U 4 X 2 E 8
N 25  28 2 E 9 U 1
N 26  29 1 X 5
N 27  30 3 U 6 E 3 X 7
N 28  31 2 X 1 U 8
N 29  32 1 E 4
N 30  33 3 U 2 X 9 E 5
N 31  34 2 E 7 U 3
N 32  35 1 X 6
N 33  36 3 U 4 E 1 X 8
N 34  37 2 X 2 U 7
N 35  38 1 E 9
N 36  39 3 U 5 X 3 E 6
N 37  40 2 E 8 U 1
N 38  41 1 X 4
N 39  42 3 U 2 E 7 X 5
N 40  43 2 X 1 U 9
N 41  44 1 E 3
N 42  45 3 U 6 X 8 E 2
N 43  46 2 E 5 U 4
N 44  47 1 X 7
N 45  48 3 U 1 E 9 X 3
N 46  49 2 X 4 U 6
N 47  50 1 E 2
N 48  51 3 U 7 X 5 E 1
N 49  52 2 E 8 U 3
N 50  53 1 X 9
N 51  54 3 U 4 E 6 X 2
N 52  55 2 X 1 U 8
N 53  56 1 E 5
N 54  57 3 U 2 X 7 E 3
N 55  58 2 E 9 U 1
N 56  59 1 X 4
N 57  60 3 U 5 E 7 X 8
N 58  61 2 X 3 U 6
N 59  62 1 E 2
N 60  63 3 U 1 X 9 E 4
N 61  64 2 E 6 U 3
N 62  65 1 X 7
N 63  66 3 U 8 E 5 X 1
N 64  67 2 X 2 U 9
N 65  68 1 E 4
N 66  69 3 U 3 X 6 E 7
N 67  70 2 E 8 U 2
N 68  71 1 X 5
N 69  72 3 U 1 E 9 X 4
N 70  73 2 X 7 U 3
N 71  74 1 E 6
N 72  75 3 U 4 X 2 E 8
N 73  76 2 E 5 U 1
N 74  77 1 X 9
N 75  78 3 U 7 E 3 X 6
N 76  79 2 X 1 U 8
N 77  80 1 E 4
N 78  81 3 U 2 X 5 E 7
N 79  82 2 E 9 U 3
N 80  83 1 X 6
N 81  84 3 U 1 E 8 X 4
N 82  85 2 X 3 U 7
N 83  86 1 E 2
N 84  87 3 U 5 X 9 E 1
N 85  88 2 E 6 U 4
N 86  89 1 X 8
N 87  90 3 U 3 E 7 X 2
N 88  91 2 X 4 U 6
N 89  92 1 E 5
N 90  93 3 U 1 X 8 E 3
N 91  94 2 E 9 U 2
N 92  95 1 X 7
N 93  96 3 U 4 E 6 X 1
N 94  97 2 X 5 U 9
N 95  98 1 E 3
N 96  99 3 U 2 X 7 E 8
N 97  100 2 E 4 U 1
N 98  101 1 X 6
N 99  102 3 U 5 E 9 X 3
N 100  103 2 X 2 U 8
N 101  104 1 E 7
N 102  105 3 U 1 X 4 E 6
N 103  106 2 E 8 U 3
N 104  107 1 X 5
N 105  108 3 U 7 E 2 X 9
N 106  109 2 X 1 U 6
N 107  110 1 E 4
N 108  111 3 U 3 X 8 E 5
N 109  112 2 E 7 U 2
N 110  113 1 X 9
N 111  114 3 U 1 E 6 X 4
N 112  115 2 X 3 U 7
N 113  116 1 E 5
N 114  117 3 U 2 X 9 E 8
N 115  118 2 E 4 U 1
N 116  119 1 X 6
N 117  120 3 U 5 E 7 X 3
N 118  121 2 X 2 U 8
N 119  122 1 E 9
N 120  123 3 U 4 X 1 E 6
N 121  124 2 E 5 U 3
N 122  125 1 X 7
N 123  126 3 U 1 E 8 X 2
N 124  127 2 X 4 U 9
N 125  128 1 E 3
N 126  129 3 U 6 X 5 E 7
N 127  130 2 E 9 U 2
N 128  131 1 X 8
N 129  132 3 U 3 E 4 X 1
N 130  133 2 X 7 U 6
N 131  134 1 E 5
N 132  135 3 U 1 X 9 E 2
N 133  136 2 E 8 U 4
N 134  137 1 X 3
N 135  138 3 U 5 E 6 X 7
N 136  139 2 X 2 U 8
N 137  140 1 E 1
N 138  141 3 U 4 X 5 E 9
N 139  142 2 E 7 U 3
N 140  143 1 X 6
N 141  144 3 U 2 E 8 X 1
N 142  145 2 X 4 U 7
N 143  146 1 E 5
N 144  147 3 U 1 X 9 E 3
N 145  148 2 E 6 U 2
N 146  149 1 X 8
N 147  150 3 U 4 E 7 X 5
N 148  151 2 X 3 U 6
N 149  152 1 E 9
N 150  153 3 U 2 X 1 E 8
N 151  154 2 E 5 U 4
N 152  155 1 X 7
N 153  156 3 U 3 E 6 X 9
N 154  157 2 X 2 U 8
N 155  158 1 E 1
N 156  159 3 U 5 X 4 E 7
N 157  160 2 E 9 U 3
N 158  161 1 X 6
N 158  162 3 U 1 E 8 X 2
N 159  163 2 X 5 U 7
N 160  164 1 E 4
N 161  165 3 U 2 X 9 E 6
N 162  166 2 E 7 U 1
N 163  167 1 X 3
N 164  168 3 U 4 E 5 X 8
N 165  169 2 X 1 U 9
N 166  170 1 E 2
N 167  171 3 U 3 X 6 E 7
N 168  172 2 E 8 U 4
N 169  173 1 X 5
N 170  174 3 U 1 E 9 X 3
N 171  175 2 X 4 U 7
N 172  176 1 E 6
N 173  177 3 U 2 X 8 E 5
N 174  178 2 E 7 U 1
N 175  179 1 X 9
N 176  180 3 U 4 E 3 X 6
N 177  181 2 X 2 U 8
N 178  182 1 E 5
N 179  183 3 U 1 X 7 E 4
N 180  184 2 E 9 U 2
N 181  185 1 X 6
N 182  186 3 U 3 E 8 X 1
N 183  187 2 X 5 U 7
N 184  188 1 E 4
N 185  189 3 U 2 X 9 E 6
N 186  190 2 E 7 U 3
N 187  191 1 X 8
N 188  192 3 U 1 E 5 X 2
N 189  193 2 X 4 U 9
N 190  194 1 E 3
N 191  195 3 U 6 X 7 E 8
N 192  196 2 E 9 U 1
N 193  197 1 X 5
N 194  198 3 U 2 E 4 X 6
N 195  199 2 X 3 U 8
N 196  200 1 E 7
N 197  201 3 U 1 X 9 E 5
N 198  202 2 E 8 U 3
N 199  203 1 X 4
N 200  204 3 U 2 E 7 X 1
